Season,Name,Team, BB% ,ERA,playerid
2018,Zack Wheeler,NYM, 0.0740 ,3.31,10310
2019,Stephen Strasburg,WSN, 0.0670 ,3.32,10131
2017,Drew Pomeranz,BOS, 0.0930 ,3.32,11426
2016,Cole Hamels,TEX, 0.0910 ,3.32,4972
2018,Jon Lester,CHC, 0.0840 ,3.32,4930
2020,Lance Lynn,TEX, 0.0730 ,3.32,2520
2016,Drew Pomeranz,- - -, 0.0920 ,3.32,11426
2016,Chris Sale,CHW, 0.0500 ,3.34,10603
2015,Jon Lester,CHC, 0.0570 ,3.34,4930
2015,Wei-Yin Chen,BAL, 0.0520 ,3.34,13071
2016,John Lackey,CHC, 0.0710 ,3.35,1507
2015,Jake Odorizzi,TBR, 0.0660 ,3.35,6397
2019,Dakota Hudson,STL, 0.1140 ,3.35,19206
2015,Jose Quintana,CHW, 0.0510 ,3.36,11423
2017,Justin Verlander,- - -, 0.0850 ,3.36,8700
2015,Michael Wacha,STL, 0.0760 ,3.37,14078
2018,Carlos Carrasco,CLE, 0.0550 ,3.37,6632
2015,Francisco Liriano,PIT, 0.0910 ,3.38,3201
2016,Ervin Santana,MIN, 0.0710 ,3.38,3200
2018,Luis Severino,NYY, 0.0590 ,3.39,15890
2019,Luis Castillo,CIN, 0.1010 ,3.4,15689
2017,Andrew Cashner,TEX, 0.0910 ,3.4,8782
2015,Chris Sale,CHW, 0.0490 ,3.41,10603
2019,Lucas Giolito,CHW, 0.0810 ,3.41,15474
2015,Yovani Gallardo,TEX, 0.0860 ,3.42,8173
2016,Bartolo Colon,NYM, 0.0400 ,3.43,375
2017,Lance Lynn,STL, 0.1010 ,3.43,2520
2020,Antonio Senzatela,COL, 0.0590 ,3.44,15488
2018,Kyle Hendricks,CHC, 0.0540 ,3.44,12049
2015,Johnny Cueto,- - -, 0.0530 ,3.44,6893
2015,Danny Salazar,CLE, 0.0700 ,3.45,5867
2019,Kyle Hendricks,CHC, 0.0440 ,3.46,12049
2016,Marco Estrada,TOR, 0.0900 ,3.48,1118
2020,Lucas Giolito,CHW, 0.0970 ,3.48,15474
2016,Kenta Maeda,LAD, 0.0700 ,3.48,18498
2015,Corey Kluber,CLE, 0.0510 ,3.49,2429
2017,Jimmy Nelson,MIL, 0.0660 ,3.49,10547
2018,Jhoulys Chacin,MIL, 0.0890 ,3.5,2608
2016,Danny Duffy,KCR, 0.0570 ,3.51,3542
2019,Jeff Samardzija,SFG, 0.0660 ,3.52,3254
2015,Felix Hernandez,SEA, 0.0700 ,3.53,4772
2017,Jake Arrieta,CHC, 0.0780 ,3.53,4153
2017,Jacob deGrom,NYM, 0.0710 ,3.53,10954
2017,Aaron Nola,PHI, 0.0710 ,3.54,16149
2017,Sonny Gray,- - -, 0.0840 ,3.55,12768
2015,Edinson Volquez,KCR, 0.0850 ,3.55,3990
2018,Mike Fiers,- - -, 0.0520 ,3.56,7754
2020,Framber Valdez,HOU, 0.0560 ,3.57,17295
2018,Derek Holland,SFG, 0.0920 ,3.57,4141
2018,David Price,BOS, 0.0690 ,3.58,3184
2019,Mike Minor,TEX, 0.0790 ,3.59,10021
2015,Hector Santiago,LAA, 0.0910 ,3.59,4026
2015,Dan Haren,- - -, 0.0490 ,3.6,1757
2016,Kevin Gausman,BAL, 0.0620 ,3.61,14107
2015,J.A. Happ,- - -, 0.0630 ,3.61,7410
2018,Kyle Gibson,MIN, 0.0960 ,3.62,10123
2015,Carlos Carrasco,CLE, 0.0590 ,3.63,6632
2017,Carlos Martinez,STL, 0.0830 ,3.64,11682
2015,Cole Hamels,- - -, 0.0700 ,3.65,4972
2015,Garrett Richards,LAA, 0.0880 ,3.65,9784
2018,J.A. Happ,- - -, 0.0700 ,3.65,7410
2016,Jerad Eickhoff,PHI, 0.0520 ,3.65,12664
2015,Jordan Zimmermann,WSN, 0.0470 ,3.66,4505
2017,Alex Cobb,TBR, 0.0590 ,3.66,6562
2019,Lance Lynn,TEX, 0.0670 ,3.67,2520
2016,Ian Kennedy,KCR, 0.0810 ,3.68,6986
2019,Jose Berrios,MIN, 0.0610 ,3.68,14168
2016,Jake Odorizzi,TBR, 0.0700 ,3.69,6397
2015,Brett Anderson,LAD, 0.0610 ,3.69,8223
2015,Mike Fiers,- - -, 0.0840 ,3.69,7754
2015,Mike Leake,- - -, 0.0630 ,3.7,10130
2016,Jeremy Hellickson,PHI, 0.0580 ,3.71,4371
2018,Dallas Keuchel,HOU, 0.0660 ,3.74,9434
2020,Max Scherzer,WSN, 0.0780 ,3.74,3137
2015,Jason Hammel,CHC, 0.0560 ,3.74,4538
2020,German Marquez,COL, 0.0730 ,3.75,15038
2015,Erasmo Ramirez,TBR, 0.0600 ,3.75,10314
2016,Dan Straily,CIN, 0.0920 ,3.76,9460
2018,German Marquez,COL, 0.0700 ,3.77,15038
2016,Chris Tillman,BAL, 0.0920 ,3.77,5279
2018,Cole Hamels,- - -, 0.0810 ,3.78,4972
2015,Gio Gonzalez,WSN, 0.0910 ,3.79,7448
2015,Mark Buehrle,TOR, 0.0400 ,3.81,225
2016,Jeff Samardzija,SFG, 0.0650 ,3.81,3254
2019,Eduardo Rodriguez,BOS, 0.0870 ,3.81,13164
2019,Julio Teheran,ATL, 0.1100 ,3.81,6797
2017,Jose Urena,MIA, 0.0880 ,3.82,11589
2017,Michael Fulmer,DET, 0.0590 ,3.83,13218
2016,Jason Hammel,CHC, 0.0770 ,3.83,4538
2018,Jose Berrios,MIN, 0.0770 ,3.84,14168
2015,Kyle Gibson,MIN, 0.0790 ,3.84,10123
2015,Alex Wood,- - -, 0.0740 ,3.84,13781
2019,Anibal Sanchez,WSN, 0.0810 ,3.85,3284
2017,Yu Darvish,- - -, 0.0760 ,3.86,13074
2019,Aaron Nola,PHI, 0.0940 ,3.87,16149
2019,Sandy Alcantara,MIA, 0.0970 ,3.88,18684
2019,Brett Anderson,OAK, 0.0660 ,3.89,8223
2019,Anthony DeSclafani,CIN, 0.0700 ,3.89,13050
2015,Collin McHugh,HOU, 0.0620 ,3.89,7531
2017,Jhoulys Chacin,SDP, 0.0940 ,3.89,2608
2018,Sean Newcomb,ATL, 0.1160 ,3.9,16943
2019,Mike Fiers,OAK, 0.0700 ,3.9,7754
2019,Madison Bumgarner,SFG, 0.0510 ,3.9,5524
2017,Zach Davies,MIL, 0.0670 ,3.9,13183
2015,R.A. Dickey,TOR, 0.0690 ,3.91,1245
2016,CC Sabathia,NYY, 0.0850 ,3.91,404
2018,Reynaldo Lopez,CHW, 0.0940 ,3.91,16400
2015,James Shields,SDP, 0.0940 ,3.91,7059
2017,Mike Leake,- - -, 0.0470 ,3.92,10130
2018,Kevin Gausman,- - -, 0.0640 ,3.92,14107
2018,Julio Teheran,ATL, 0.1160 ,3.94,6797
2015,Kyle Hendricks,CHC, 0.0580 ,3.95,12049
2015,Chris Heston,SFG, 0.0860 ,3.95,10302
2018,Jake Arrieta,PHI, 0.0790 ,3.96,4153
2019,Zack Wheeler,NYM, 0.0600 ,3.96,10310
2016,Zach Davies,MIL, 0.0560 ,3.97,13183
2016,Brandon Finnegan,CIN, 0.1140 ,3.98,16208
2019,Yu Darvish,CHC, 0.0770 ,3.98,13074
2019,Wade Miley,HOU, 0.0850 ,3.98,8779
2018,Jose Urena,MIA, 0.0720 ,3.98,11589
2019,Marco Gonzales,SEA, 0.0650 ,3.99,15467
2016,David Price,BOS, 0.0530 ,3.99,3184
2018,Marco Gonzales,SEA, 0.0470 ,4,15467
2020,Jose Berrios,MIN, 0.0960 ,4,14168
2019,Max Fried,ATL, 0.0670 ,4.02,13743
2016,Chris Archer,TBR, 0.0790 ,4.02,6345
2018,Jose Quintana,CHC, 0.0920 ,4.03,11423
2020,Zack Greinke,HOU, 0.0330 ,4.03,1943
2017,Patrick Corbin,ARI, 0.0740 ,4.03,9323
2016,Carlos Rodon,CHW, 0.0760 ,4.04,16137
2015,Julio Teheran,ATL, 0.0870 ,4.04,6797
2015,Anthony DeSclafani,CIN, 0.0700 ,4.05,13050
2020,Brady Singer,KCR, 0.0870 ,4.06,25377
2017,Chris Archer,TBR, 0.0700 ,4.07,6345
2015,Yordano Ventura,KCR, 0.0840 ,4.08,11855
2015,Tom Koehler,MIA, 0.0960 ,4.08,6570
2016,Matt Moore,- - -, 0.0860 ,4.08,1890
2015,Ubaldo Jimenez,BAL, 0.0860 ,4.11,3374
2015,Jimmy Nelson,MIL, 0.0860 ,4.11,10547
2016,Kendall Graveman,OAK, 0.0600 ,4.11,15514
2016,Hisashi Iwakuma,SEA, 0.0550 ,4.12,13048
2015,Jon Niese,NYM, 0.0710 ,4.13,4424
2017,Michael Wacha,STL, 0.0780 ,4.13,14078
2019,Zach Eflin,PHI, 0.0680 ,4.13,13774
2017,Ivan Nova,PIT, 0.0460 ,4.14,1994
2018,Andrew Heaney,LAA, 0.0600 ,4.15,15423
2017,Jose Quintana,- - -, 0.0770 ,4.15,11423
2019,Miles Mikolas,STL, 0.0420 ,4.16,9803
2017,Jason Vargas,KCR, 0.0770 ,4.16,8044
2015,Bartolo Colon,NYM, 0.0290 ,4.16,375
2019,Joey Lucchesi,SDP, 0.0820 ,4.18,19320
2017,Trevor Bauer,CLE, 0.0800 ,4.19,12703
2019,Brad Keller,KCR, 0.0990 ,4.19,15734
2018,Ivan Nova,PIT, 0.0510 ,4.19,1994
2019,Adam Wainwright,STL, 0.0860 ,4.19,2233
2018,Gio Gonzalez,- - -, 0.1070 ,4.21,7448
2017,Dylan Bundy,BAL, 0.0730 ,4.24,12917
2017,Gerrit Cole,PIT, 0.0650 ,4.26,13125
2017,Dan Straily,MIA, 0.0780 ,4.26,9460
2015,Mike Pelfrey,MIN, 0.0630 ,4.26,5203
2016,Trevor Bauer,CLE, 0.0860 ,4.26,12703
2017,R.A. Dickey,ATL, 0.0820 ,4.26,1245
2015,Ian Kennedy,SDP, 0.0730 ,4.28,6986
2019,Noah Syndergaard,NYM, 0.0610 ,4.28,11762
2018,Rick Porcello,BOS, 0.0590 ,4.28,2717
2019,Mike Leake,- - -, 0.0320 ,4.29,10130
2018,Luis Castillo,CIN, 0.0690 ,4.3,15689
2016,Tom Koehler,MIA, 0.1070 ,4.33,6570
2020,Kyle Freeland,COL, 0.0760 ,4.33,16256
2017,Jon Lester,CHC, 0.0790 ,4.33,4930
2019,Robbie Ray,ARI, 0.1120 ,4.34,11486
2015,Andrew Cashner,SDP, 0.0820 ,4.34,8782
2016,Collin McHugh,HOU, 0.0680 ,4.34,7531
