"","Name","Team","IP","FIP","playerid","Command","S_ERA","FIP_Rank","StuffERA_Rank","F_S"
"71","Michael Fulmer","DET",21,3.92,13218,5.67964003151401,3.0202,73,26,47
"72","Chris Bassitt","OAK",34.1,3.63,12304,-2.61933816462046,3.7909,57,62,-5
"73","Dane Dunning","TEX",22.2,2.23,19409,0.819935608162822,3.8245,9,66,-57
"74","Justin Dunn","SEA",20.1,5.03,19268,1.02107347276734,3.4991,110,45,65
"75","Dylan Bundy","LAA",36,3.61,12917,1.85008139196002,3.6115,54,49,5
"76","Steven Matz","TOR",27,3.78,13361,-0.879532737187488,4.0695,66,77,-11
"77","Domingo German","NYY",20,4.41,17149,3.31624921068136,4.4284,94,94,0
"78","Matt Harvey","BAL",31,3.5,11713,-0.773998976127439,4.0207,49,75,-26
"79","Adam Wainwright","STL",28.2,3.98,2233,1.38814263961234,4.2787,77,89,-12
"80","Logan Webb","SFG",28.1,3.89,17995,4.76682525037422,4.6726,71,106,-35
"81","German Marquez","COL",32.2,4.03,15038,-2.08704071761388,3.3569,84,39,45
"82","Eduardo Rodriguez","BOS",28,3.54,13164,0.88628947756846,5.0004,51,114,-63
"83","Justus Sheffield","SEA",28,4.4,17285,0.299836017435734,4.3838,92,92,0
"84","Jake Arrieta","CHC",31.1,4.64,4153,-2.73470183188891,4.6049,100,104,-4
"85","Mike Foltynewicz","TEX",33.1,5.57,10811,-0.99405811806243,5.4487,118,123,-5
"86","Chi Chi Gonzalez","COL",24.2,4.12,14663,0.0894906250803531,4.3348,85,91,-6
"87","Jordan Montgomery","NYY",26.2,4.87,16511,-0.362410242882351,3.7351,108,60,48
"88","Garrett Richards","BOS",28.2,4.02,9784,-0.348417103527027,4.2195,81,87,-6
"89","Yusei Kikuchi","SEA",30.2,4.64,20633,-2.77523273504283,3.1044,101,27,74
"90","Erick Fedde","WSN",22.1,3.65,17425,-0.950329480722971,4.4551,59,97,-38
"91","Joe Ross","WSN",21.1,5.74,12972,1.85877158800577,4.0236,119,76,43
"92","Dallas Keuchel","CHW",31,4.5,9434,1.02907047124804,3.8903,95,71,24
"93","Martin Perez","BOS",23,3.59,6902,-0.473474618706813,4.5617,53,103,-50
"94","Adbert Alzolay","CHC",21,3.78,17859,2.06356803001912,3.0016,67,24,43
"95","Michael Wacha","TBR",28.1,3.96,14078,1.51485253673931,3.9892,75,74,1
"96","Zach Plesac","CLE",32,3.99,19979,2.57956055497246,4.2086,78,86,-8
"97","David Peterson","NYM",24.1,4.51,20302,-1.37720090666154,4.4067,96,93,3
"98","Ryan Yarbrough","TBR",33.1,3.14,16502,-1.17437604116957,4.185,32,82,-50
"99","Luke Weaver","ARI",25.2,5.02,16918,1.38580066083647,4.5376,109,101,8
"100","Lucas Giolito","CHW",30.2,4.25,15474,-0.326610524014852,4.326,89,90,-1
"101","Casey Mize","DET",26.2,5.51,20492,-0.0125262579898783,4.6283,116,105,11
"102","Charlie Morton","ATL",33.2,3.67,4676,1.42595602784821,3.6971,61,57,4
"103","Jameson Taillon","NYY",22.1,4.23,11674,1.15228361665208,5.0335,88,116,-28
"104","Andrew Heaney","LAA",24,3.69,15423,1.42233494550635,3.6195,62,50,12
"105","Mike Minor","KCR",25.2,5.33,10021,-1.47593894664918,4.9638,114,113,1
"106","Chase Anderson","PHI",21.2,4.82,6895,0.680736350234229,4.1876,106,84,22
"107","Marco Gonzales","SEA",28.1,5.51,15467,0.981100619354088,4.6857,117,108,9
"108","Chris Paddack","SDP",23.1,3.24,20099,0.980850799517084,4.5477,35,102,-67
"109","Bruce Zimmermann","BAL",30,5.88,20370,1.07960725073915,5.1135,120,119,1
"110","Madison Bumgarner","ARI",30.2,4.02,5524,-4.1448471606194,3.9418,82,73,9
"111","Kohei Arihara","TEX",25,6.43,27505,-1.23049734664202,5.7379,126,128,-2
"112","Antonio Senzatela","COL",29.2,5.2,15488,-1.28778897250825,5.4051,112,122,-10
"113","Jesus Luzardo","OAK",28,4.57,19959,-0.527608902331117,4.447,98,95,3
"114","Merrill Kelly","ARI",32.2,4.55,11156,0.52549786169285,4.8971,97,111,-14
"115","Austin Gomber","COL",29,4.66,16561,-0.569067512354613,3.4908,103,44,59
"116","Trevor Williams","CHC",27,5.15,16977,3.744350717038,5.0966,111,117,-6
"117","Luis Castillo","CIN",29.2,4.69,15689,5.63914249646666,5.3876,104,121,-17
