pitcher,player_name,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,S_ERA
594986,Kyle Ryan,374,0.06417,0.07123,-0.018796547,168,0.75,0.64424,0.059065179,137,0.19708,0.20797,0.005901504,0.3362,0.3516,-0.002221572,-5.099403725,5.1979
594987,Casey Sadler,428,0.11916,0.0968,0.022818238,184,0.58152,0.61211,-0.016709473,134,0.3209,0.29787,0.031542411,0.3306,0.3623,0.001092967,2.068783445,3.3921
595001,Josh A. Smith,524,0.10687,0.11742,-0.008868138,237,0.66245,0.57956,0.041897995,172,0.37791,0.3003,0.063764199,0.3299,0.3822,0.003025886,5.4869911,4.2509
595014,Blake Treinen,703,0.12518,0.09986,0.026220585,329,0.68693,0.63451,0.040958408,214,0.41589,0.32987,0.101449058,0.3413,0.2904,-0.009623461,0.716255068,3.0769
595411,Ryan Sherriff,220,0.07273,0.08643,-0.006965909,112,0.625,0.64109,-0.019378278,78,0.28205,0.32414,-0.00671193,0.3456,0.1542,-0.024899601,-1.555100999,2.9466
595465,Dan Winkler,424,0.12736,0.09435,0.019660487,174,0.70115,0.68078,0.011027107,158,0.32911,0.31267,0.035459356,0.3284,0.3083,-0.006501822,-0.419059865,3.3936
595897,Nick Burdi,46,0.15217,0.11161,0.012665725,19,0.57895,0.71811,-0.015359135,13,0.23077,0.33853,-0.005662953,0.3312,0.32,0.00086638,-0.207395686,3.8431
595918,A.J. Cole,492,0.13415,0.12856,0.004227404,230,0.7,0.64246,0.036971109,114,0.2807,0.27177,0.020830504,0.3255,0.3147,-0.001800957,3.473231499,3.8576
595928,John Curtiss,702,0.11681,0.11759,0.005195067,387,0.7416,0.66161,0.061010791,180,0.28889,0.27708,0.037794338,0.3396,0.3235,0.000592428,-0.260301221,4.388
596001,Jakob Junis,575,0.09043,0.11267,-0.018885938,295,0.65085,0.63927,0.005969932,136,0.21324,0.33277,-0.054745967,0.336,0.3764,0.006518422,2.494706626,4.8378
596027,Dillon Maples,40,0.15,0.06332,0.015063943,12,0.41667,0.54733,-0.017062933,18,0.05556,0.13364,-0.01265508,0.3049,0.55,0.001347591,0.913467124,3.7214
596035,Reggie McClain,125,0.072,0.07549,-0.008390455,55,0.70909,0.67017,0.00403491,48,0.45833,0.2707,0.070894753,0.3457,0.45,0.003349268,-5.408507254,4.92
596043,Daniel Mengden,231,0.08225,0.09414,-0.007668758,113,0.59292,0.65472,-0.027652721,73,0.32877,0.30728,0.027684791,0.3324,0.3759,0.002116144,-0.035962108,4.2664
596057,Daniel Norris,626,0.12939,0.12401,0.000758231,303,0.67987,0.69791,-0.012438833,205,0.27317,0.31367,-0.006191059,0.3325,0.3054,-0.001013266,0.835456394,3.9459
596071,Dillon Peters,36,0.08333,0.11748,-0.005909617,24,0.70833,0.66234,0.001341108,11,0.27273,0.2893,-0.006177932,0.3416,0.6444,0.007927117,-0.233304006,4.7623
