pitcher,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,Season,S_ERA,player_name
285079,2708,0.10561,0.10696,3.60E-04,1438,0.66551,0.57099,0.086031482,755,0.26535,0.26632,-0.006674326,0.3423,0.3453,-1.82E-04,0.269877019,2016,4.459,R. A. Dickey
285079,2780,0.08849,0.11077,-0.022095214,1462,0.6539,0.59049,0.046256252,773,0.2648,0.28396,-0.003413375,0.3425,0.3427,-3.49E-04,0.934606635,2017,4.788,R. A. Dickey
329092,406,0.10837,0.08408,0.023204826,180,0.62778,0.61418,0.005801219,155,0.30088,0.23672,0.036993313,0.3309,0.3197,-0.001448672,-0.886277521,2015,3.276,Randy Choate
346793,562,0.05872,0.08047,-0.01855898,280,0.62857,0.61885,-0.002848287,212,0.21986,0.227,-0.013245572,0.338,0.3665,7.93E-04,-3.264832272,2015,4.6,Jeremy Affeldt
346798,2540,0.09134,0.10987,-0.016621481,1146,0.65183,0.6327,0.007595447,787,0.29197,0.28978,-0.007095689,0.3255,0.3628,0.014998988,2.877145926,2015,4.883,Kyle Lohse
346798,188,0.04255,0.0921,-0.021702619,74,0.58108,0.62435,-0.011003669,59,0.20175,0.26866,-0.026786109,0.333,0.4777,0.005144424,0.557316415,2016,4.795,Kyle Lohse
346847,698,0.07163,0.09081,-0.012900709,313,0.71565,0.63455,0.04808432,265,0.26753,0.27186,-0.005858198,0.3355,0.3426,-0.001390554,-1.01970568,2015,4.452,Joe Beimel
407793,3106,0.09401,0.0812,0.011413011,1666,0.67167,0.64114,0.019989951,772,0.29931,0.23476,0.044489036,0.3429,0.3021,-0.007702708,-3.037423275,2015,3.525,John Lackey
407793,2778,0.11483,0.09075,0.020862942,1381,0.66401,0.63718,0.018129657,713,0.31138,0.25091,0.051487554,0.3356,0.2888,-0.015053378,0.100674544,2016,2.852,John Lackey
407793,2692,0.10364,0.08317,0.017883087,1326,0.66139,0.63986,0.011902319,728,0.28551,0.24708,0.045026358,0.3372,0.3416,0.001210338,-1.165603862,2017,3.988,John Lackey
407819,593,0.08432,0.08346,0.005366626,290,0.70345,0.64809,0.033231366,237,0.26073,0.2237,0.017427781,0.3361,0.2643,-0.009671694,-3.176611769,2015,3.615,Matt Thornton
407819,280,0.06786,0.07462,-0.00166095,148,0.75,0.63224,0.054216845,97,0.25758,0.23123,0.014415769,0.3422,0.3838,0.001896283,-4.036478291,2016,4.881,Matt Thornton
407822,2455,0.11813,0.10525,0.009283088,1082,0.66636,0.66518,-0.005979245,1091,0.32411,0.27949,0.031910476,0.3279,0.3299,0.003613977,-0.33995457,2015,3.784,Jorge De La Rosa
407822,2329,0.10434,0.10603,-9.53E-04,1081,0.65032,0.65852,-0.007256703,953,0.27484,0.26209,0.004725101,0.3284,0.3824,0.015084712,-0.575412405,2016,4.953,Jorge De La Rosa
407822,865,0.14104,0.10343,0.02915907,407,0.76167,0.68268,0.041494788,372,0.26638,0.25391,0.018522263,0.3263,0.3081,-0.005039912,-1.701170871,2017,3.55,Jorge De La Rosa
407822,996,0.11647,0.11273,0.002842982,468,0.70299,0.68704,0.004351028,413,0.31061,0.2943,0.03119032,0.328,0.3211,-0.002230377,-0.270273537,2018,3.832,Jorge De La Rosa
407845,1100,0.09727,0.10117,-0.001116103,527,0.57685,0.68899,-0.085206521,386,0.24782,0.25775,-0.011781428,0.3265,0.3393,0.001613414,-1.516119262,2015,3.578,Fernando Rodney
407845,1148,0.12718,0.10274,0.024273932,517,0.59961,0.67606,-0.06072931,420,0.29319,0.27885,0.011792615,0.3274,0.3036,-0.004559184,0.388407614,2016,2.842,Fernando Rodney
407845,975,0.12513,0.10391,0.015842269,448,0.60045,0.69464,-0.079566934,350,0.26945,0.28372,-1.87245E-05,0.3294,0.2626,-0.011310821,-0.404279526,2017,2.703,Fernando Rodney
407845,1168,0.11473,0.09365,0.017914736,546,0.62454,0.68108,-0.050328408,435,0.26367,0.26919,0.001561641,0.334,0.3217,7.11E-05,-1.721731109,2018,3.418,Fernando Rodney
407845,851,0.11281,0.09669,0.011572396,389,0.62725,0.67549,-0.044629466,322,0.30952,0.27781,0.03126196,0.3313,0.346,0.001694201,-0.920910741,2019,3.86,Fernando Rodney
407890,3161,0.0832,0.10663,-0.017372346,1557,0.64997,0.63898,0.009120124,883,0.28678,0.28742,-0.006440724,0.3355,0.3259,-0.001308851,-0.122009393,2015,4.238,Colby Lewis
407890,1750,0.08057,0.10692,-0.021926551,872,0.63532,0.63507,-0.005148295,497,0.28929,0.30304,-0.0126646,0.335,0.3085,-0.012436211,0.663060928,2016,3.85,Colby Lewis
407908,482,0.08299,0.10684,-0.019161621,229,0.69869,0.66163,0.006871632,148,0.31621,0.3117,-0.00659757,0.3376,0.3143,7.66E-04,0.826114271,2015,4.292,Joel Peralta
407908,501,0.11776,0.10731,0.009046728,271,0.71218,0.6776,0.01251539,144,0.26522,0.29042,-0.014104382,0.3407,0.3833,0.012105757,-1.436528952,2016,4.723,Joel Peralta
408061,828,0.13889,0.12541,0.009973086,395,0.62785,0.66929,-0.041879109,227,0.34411,0.32,0.013066622,0.3292,0.247,-0.004703081,4.056320955,2015,2.735,Francisco Rodriguez
408061,921,0.11835,0.11687,0.001629636,430,0.65349,0.67191,-0.017579531,228,0.27902,0.28442,-0.013811191,0.3257,0.2841,-0.008422788,3.211428386,2016,3.203,Francisco Rodriguez
408061,431,0.09745,0.10314,-0.004829406,233,0.61373,0.65183,-0.02389813,79,0.16667,0.25526,-0.039045652,0.3347,0.4158,0.008400644,0.311625009,2017,4.588,Francisco Rodriguez
408241,1731,0.0803,0.09054,-0.010658197,874,0.6762,0.66663,0.002383399,523,0.30105,0.26796,0.014510289,0.3376,0.2965,-0.008102636,-2.04029486,2015,3.848,Jake Peavy
