"","Season","Name","Team","Age","PA","BB%","K%","BB/K","ISO","BABIP","SB","CS","Spd","wSB","GB/FB","GB%","LD%","FB%","IFFB%","SwStr%","Oppo%","Cent%","Pull%","Level","wRC.","PlayerId","SB_PA","Key","PlayerList"
"16",2021,"Elliot Soto","LAD",31,132,0.08333333,0.18939394,0.44,0.05882353,0.30526316,2,0,3.88628708234513,0.338148698210716,2.13043478,0.52688172,0.22580645,0.24731183,0.17391304,0.08538899,0.36842105,0.28421053,0.34736842,"AAA",54.8772272299395,"11155",0.0151515151515152,"11155LADAAA","Elliot Soto LAD-AAA"
"17",2021,"Mike Freeman","CIN",33,64,0.125,0.25,0.5,0.17857143,0.28947368,1,0,5.20076482475271,0.134613572619855,1,0.35,0.3,0.35,0,0.08988764,0.325,0.3,0.375,"AAA",97.9927276723431,"11241",0.015625,"11241CINAAA","Mike Freeman CIN-AAA"
"18",2021,"Matt Szczur","STL",31,112,0.0625,0.25892857,0.24137931,0.19607843,0.20289855,0,0,2.16071426785714,-0.0741046210750937,0.90909091,0.4109589,0.1369863,0.45205479,0.21212121,0.1286031,0.32,0.2,0.48,"AAA",56.8903251252032,"11255",0,"11255STLAAA","Matt Szczur STL-AAA"
"19",2021,"Bryan Holaday","ARI",33,108,0.08333333,0.17592593,0.47368421,0.31578948,0.24657534,1,0,4.63313268404512,0.167255192995071,0.7,0.35,0.15,0.5,0.175,0.07881773,0.2125,0.25,0.5375,"AAA",102.172612725846,"11287",0.00925925925925926,"11287ARIAAA","Bryan Holaday ARI-AAA"
"20",2021,"Adrian Sanchez","WSN",30,140,0.06428571,0.13571429,0.47368421,0.15625,0.37142857,2,2,2.85395958340357,-0.678437790833413,1.68965517,0.45794393,0.27102804,0.27102804,0.24137931,0.10752688,0.29464286,0.26785714,0.4375,"AAA",134.967938203813,"11338",0.0142857142857143,"11338WSNAAA","Adrian Sanchez WSN-AAA"
"21",2021,"Delino DeShields","TEX",28,305,0.16393443,0.20327869,0.80645161,0.10526316,0.33149171,16,2,6.03432779327002,1.96139737218618,0.8961039,0.37912088,0.1978022,0.42307692,0.14285714,0.07884761,0.25531915,0.30851064,0.43617021,"AAA",99.0856811380204,"11379",0.0524590163934426,"11379TEXAAA","Delino DeShields TEX-AAA"
"22",2021,"Tony Wolters","CHC",29,136,0.13235294,0.23529412,0.5625,0.14159292,0.33766234,1,1,2.50423951473052,-0.437298540957272,1.32142857,0.45679012,0.19753086,0.34567901,0.17857143,0.08035714,0.25609756,0.20731707,0.53658537,"AAA",117.273242875534,"11470",0.00735294117647059,"11470CHCAAA","Tony Wolters CHC-AAA"
"23",2021,"Andrew Romine","CHC",35,186,0.09139785,0.17204301,0.53125,0.08536585,0.38167939,2,3,4.5489328015559,-1.21111804619431,2.0625,0.50769231,0.24615385,0.24615385,0.28125,0.10814815,0.4,0.27407407,0.32592593,"AAA",113.826027574016,"1159",0.010752688172043,"1159CHCAAA","Andrew Romine CHC-AAA"
"24",2021,"Yolmer Sanchez","ATL",29,247,0.09716599,0.25506073,0.38095238,0.12962963,0.24489796,4,1,4.8660825119253,0.0973150376230478,0.96721311,0.39333333,0.2,0.40666667,0.31147541,0.13110048,0.32692308,0.23717949,0.43589744,"AAA",66.952721784853,"11602",0.0161943319838057,"11602ATLAAA","Yolmer Sanchez ATL-AAA"
"25",2021,"Brandon Drury","NYM",28,171,0.0994152,0.16959064,0.5862069,0.20529802,0.28205128,0,0,1.51785714285714,-0.178722909651696,1.30232558,0.46280992,0.18181818,0.3553719,0.1627907,0.08124077,0.264,0.232,0.504,"AAA",113.007752028541,"11615",0,"11615NYMAAA","Brandon Drury NYM-AAA"
"26",2021,"Drew Robinson","SFG",29,111,0.12612613,0.54954955,0.2295082,0.125,0.24242424,1,0,4.42305053367913,0.165436036884784,1,0.42424242,0.15151515,0.42424242,0.07142857,0.23140496,0.25,0.27777778,0.47222222,"AAA",12.9195961275663,"11761",0.00900900900900901,"11761SFGAAA","Drew Robinson SFG-AAA"
