batter,Season,Pitches,Whiff,xWhiff,In_Whiff,OOZ.Swing,OOZ.xSwing,OOZ,IZ.Swing,IZ.xSwing,IZ,wOBA,xwOBA,In_wOBA,xwOBA_Swing,xwOBA_Take,SAE,Name
491696,2017,712,0.10955,0.10447,-0.0080409386097647,0.35749,0.31151,0.0440147560728757,0.63483,0.62889,0.00941811873992602,0.2969,0.3372,-0.021300491356359,0.3678,0.3093,109.07,Jesus Sucre
491696,2018,672,0.11012,0.10481,-0.00641176345690359,0.44286,0.29581,0.144894399818875,0.72897,0.6536,0.0750824653136766,0.2222,0.3325,-0.0673307768029975,0.3563,0.3019,107.16,Jesus Sucre
491696,2019,279,0.05018,0.11062,-0.0703807253603697,0.27778,0.32238,-0.0281798281689034,0.62676,0.67034,-0.0245702249558392,0.2507,0.3427,-0.0387848215570464,0.3682,0.3217,107.44,Jesus Sucre
492802,2017,276,0.11594,0.10123,0.00126107467922997,0.38667,0.28959,0.0828762563430586,0.6791,0.60729,0.0606589254227107,0.2233,0.3327,-0.0361766754538212,0.3462,0.3138,104.06,Juan Graterol
492841,2015,134,0.1194,0.11226,6.80663555581308e-4,0.4717,0.3351,0.0733652685462056,0.65152,0.70401,-0.0275884844918916,0.325,0.3364,0.0197082994702009,0.3514,0.3185,104.46,Michael Martinez
492841,2016,350,0.12286,0.11006,0.00305106705852098,0.42149,0.3223,0.0719590850848649,0.67914,0.67217,0.0212033424691711,0.2538,0.34,-0.0193546272140385,0.3617,0.3137,106.38,Michael Martinez
492841,2017,149,0.14094,0.10182,0.0199167106570487,0.18966,0.25006,-0.0353715939202196,0.66197,0.65875,0.00202815557025791,0.2202,0.3407,-0.0205461967933553,0.3693,0.3173,108.39,Michael Martinez
493114,2015,1444,0.03878,0.09747,-0.0650191288102639,0.26544,0.28746,-0.0421858783571423,0.63475,0.65312,-0.0016565082112951,0.3395,0.3427,-0.0221829448086643,0.3747,0.3165,109.34,Nori Aoki
493114,2016,1659,0.05063,0.09888,-0.0554008086729393,0.28358,0.30728,-0.0367503677662338,0.65367,0.65647,0.0155354713840735,0.335,0.346,-0.0261008473349209,0.3787,0.3164,109.45,Nori Aoki
493114,2017,1455,0.05911,0.09894,-0.0500247629056505,0.25088,0.33025,-0.0712078737741214,0.66131,0.65507,0.0125169516549319,0.3255,0.3442,-0.0317179453725227,0.3767,0.3166,109.44,Nori Aoki
493193,2016,1259,0.10802,0.10929,-0.0123121855618394,0.26479,0.29684,-0.0377606951505948,0.63467,0.65832,-0.00471940511421853,0.3292,0.3359,0.026724075537415,0.3631,0.3113,108.1,Dae-ho Lee
493316,2015,2701,0.10626,0.10658,-0.0107620031246728,0.37117,0.27206,0.0776678100498773,0.62461,0.64239,-0.00562688798207748,0.3795,0.3307,0.0917299990481038,0.358,0.3046,108.26,Yoenis Céspedes
493316,2016,2164,0.10351,0.1044,-0.0107670945406718,0.33477,0.27024,0.047696135755343,0.64681,0.64641,0.0177524342074029,0.38,0.3269,0.0626426098080916,0.3597,0.2976,110.03,Yoenis Céspedes
493316,2017,1287,0.09635,0.10285,-0.0198428482992343,0.27907,0.27302,0.0124257739935323,0.66134,0.64482,0.0214632213647414,0.3787,0.3307,0.0566197031830919,0.3597,0.3027,108.77,Yoenis Céspedes
493316,2018,586,0.13823,0.10268,0.0206944427378952,0.35088,0.29002,0.0671878921307843,0.67384,0.65053,0.0328503595803009,0.3545,0.3281,0.0540927560120165,0.3548,0.3016,108.14,Yoenis Céspedes
493329,2016,432,0.08796,0.10513,-0.0234728226559058,0.44444,0.28621,0.117831137616644,0.74757,0.60049,0.136241626266642,0.3048,0.3279,-0.0175396069832306,0.3572,0.2911,108.94,Yuli Gurriel
493329,2017,1915,0.08251,0.10188,-0.0323388572450676,0.36691,0.27763,0.0899138580754258,0.68658,0.62866,0.0595226917726112,0.3569,0.3281,0.0153448086472317,0.3629,0.2957,110.61,Yuli Gurriel
493329,2018,1904,0.0709,0.10446,-0.0500762474771055,0.39328,0.28285,0.113281370647955,0.68636,0.6232,0.0673435362448937,0.3456,0.3295,0.0168176886907709,0.3572,0.3016,108.41,Yuli Gurriel
493329,2019,2013,0.06855,0.10661,-0.0543392131598657,0.38969,0.2842,0.114732896746659,0.66771,0.63443,0.0448171595155663,0.3782,0.3321,0.0183955213828307,0.3624,0.302,109.12,Yuli Gurriel
493343,2015,282,0.09929,0.10267,-0.00629647286770309,0.35484,0.24109,0.077462612140421,0.68504,0.61208,0.0683176030615896,0.3238,0.3284,2.31469466080366e-4,0.3565,0.2976,108.56,Héctor Olivera
493351,2015,2178,0.07117,0.10364,-0.0405637460188909,0.36909,0.27476,0.070882410086801,0.65922,0.61889,0.0534830499544829,0.2962,0.334,-0.0282129346787303,0.3657,0.3043,109.49,Alexei Ramírez
493351,2016,1822,0.07629,0.10203,-0.0356334821670004,0.38846,0.28761,0.0817389511211103,0.6491,0.63729,0.0265467173478675,0.28,0.3371,-0.0453239798931364,0.3651,0.3109,108.31,Alexei Ramírez
493472,2015,819,0.07814,0.10034,-0.0283430463221469,0.17778,0.25432,-0.0825164292952989,0.6087,0.64881,-0.0233991054909656,0.278,0.3404,-0.0559214482154511,0.3771,0.3152,110.78,Eric Campbell
493472,2016,381,0.09974,0.10924,-0.0164485441443396,0.19008,0.2672,-0.0758496718723456,0.62827,0.65422,-0.00873550512641923,0.2529,0.3344,-0.0284370706507568,0.3698,0.3088,110.59,Eric Campbell
493596,2015,937,0.07257,0.10357,-0.0388580984606595,0.26587,0.28786,-0.0359522884430201,0.64881,0.65394,0.00585973348344337,0.2766,0.3422,-0.0316031643601944,0.3725,0.3144,108.85,Gordon Beckham
493596,2016,1095,0.08402,0.10237,-0.0254734641060052,0.25407,0.31168,-0.0638032857633064,0.62319,0.64764,-0.00467629059751945,0.2891,0.3394,-0.0380753544071318,0.3759,0.3117,110.75,Gordon Beckham
493596,2018,188,0.12766,0.10649,0.0069772883950356,0.28846,0.30432,-0.0054561652314684,0.8,0.69309,0.0787273739324232,0.207,0.3366,-0.0319204384881629,0.3715,0.2994,110.37,Gordon Beckham
493596,2019,970,0.13196,0.10891,0.00657398765781413,0.26199,0.31013,-0.038130250820856,0.67992,0.66458,0.0314732257636428,0.2943,0.337,3.23034863215903e-5,0.3634,0.3106,107.83,Gordon Beckham
499624,2015,1363,0.1438,0.10709,0.024981758473304,0.30653,0.28536,2.00513417836985e-4,0.69598,0.65236,0.0550307765629663,0.3884,0.3355,0.102125576875218,0.3672,0.3033,109.45,Chris Colabello
500135,2018,788,0.14594,0.11114,0.0177981432741049,0.37688,0.25751,0.114277901754055,0.68022,0.64093,0.0482118950510945,0.2648,0.3266,-0.0227626773578553,0.3492,0.3024,106.92,Ronny Rodriguez
